Method,Variable,Feature,Broad,Optimal lambda,Total Score,Score lambda 1,Score lambda 2,Score lambda 3,Score lambda 4,Score lambda 5,Score lambda 6,Score lambda 7,Score lambda 8,Score lambda 9,Score lambda 10,Score lambda 11,Score lambda 12,Score lambda 13,Score lambda 14,Score lambda 15,Final Score
InterfaceGAN_LR_0.01_8_V1_False,V1,,,4.0,0.173,0.053,0.105,0.161,0.201,0.225,0.238,0.195,0.222,0.227,0.22,0.201,0.182,0.151,0.119,0.102,0.201
InterfaceGAN_LR_0.01_8_V1_True,V1,,,15.0,0.19,0.067,0.107,0.194,0.237,0.252,0.261,0.257,0.234,0.245,0.224,0.209,0.176,0.149,0.13,0.113,0.261
InterfaceGAN_LR_0.1_8_V1_False,V1,,,4.0,0.175,0.025,0.099,0.159,0.2,0.224,0.241,0.223,0.224,0.24,0.218,0.2,0.176,0.163,0.133,0.102,0.2
InterfaceGAN_LR_0.1_8_V1_True,V1,,,15.0,0.194,0.048,0.132,0.171,0.237,0.259,0.269,0.257,0.243,0.259,0.232,0.215,0.184,0.154,0.134,0.113,0.269
InterfaceGAN_LR_1_8_V1_False,V1,,,4.0,0.177,0.054,0.104,0.159,0.207,0.221,0.241,0.236,0.237,0.232,0.218,0.2,0.181,0.15,0.129,0.093,0.207
InterfaceGAN_LR_1_8_V1_True,V1,,,4.0,0.203,0.05,0.123,0.195,0.237,0.264,0.281,0.243,0.275,0.266,0.247,0.226,0.199,0.169,0.135,0.132,0.237
