seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
2650,4.0,38902.062,35,8,81,39,11,73,34.0,13.0,64.0,31.0,16.0,56.0,32.0,16.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,5.0,37583.492,32,6,80,34,8,72,36.0,9.0,63.0,34.0,12.0,55.0,37.0,17.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,6.0,35616.57,60,1,77,60,1,68,30.0,1.0,58.0,60.0,1.0,49.0,60.0,1.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,7.0,34865.61,0,0,77,0,0,55,0.0,0.0,68.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,8.0,32812.777,0,0,76,0,0,67,0.0,0.0,56.0,0.0,0.0,47.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,9.0,32084.104,0,0,75,0,0,42,0.0,0.0,66.0,0.0,0.0,56.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,10.0,32335.934,0,0,74,0,0,62,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,11.0,31381.229,0,0,73,0,0,62,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,12.0,31261.586,0,0,72,0,0,0,0.0,0.0,50.0,0.0,0.0,64.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,13.0,30211.1,0,0,70,0,0,0,0.0,0.0,62.0,0.0,0.0,40.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,14.0,29722.107,0,0,70,0,0,0,0.0,0.0,31.0,0.0,0.0,61.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2650,15.0,29420.592,0,0,69,0,0,0,0.0,0.0,60.0,0.0,0.0,13.0,0.0,0.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
