Feature,Variable,Space,Method,Subfolder,Performance,Classes,Separation Vector
SEED PEARL,color,w,InterfaceGAN_LR_0.1_18_color_True,interfaceGAN_beauty/color/,0.26,"SEED PEARL, FUJI SNOW, ORANGE ESSENTIAL, RIVIERA BEACH, NECRON COMPOUND, WOODEN CABIN, AMERICAN ROAST, ANTIQUITY, NEPAL, FIREBIRD TAIL LIGHTS, CHAI TEA, VENOM WYRM, SUPERIOR BRONZE, ALPHA BLUE, FALU RED, CRUSADE KING, AWARD BLUE, PITMASTON PEAR YELLOW","[-4.71596213e-03  3.30118060e-03 -6.83355301e-03 -6.51282361e-03
  6.62267819e-03  1.18848468e-02  2.71301661e-04  1.14026483e-02
 -1.14452557e-02 -1.04514532e-02 -1.37677094e-03  5.52810413e-04
  3.01284163e-03 -7.17229146e-03 -6.55798312e-03  1.11756895e-03
  2.57529929e-03  7.04464222e-03 -8.01464675e-03 -1.68169896e-02
  7.88265251e-03  8.84644372e-03 -1.52684368e-03 -8.63519583e-04
 -2.92787783e-03  4.77423882e-03 -9.61738736e-03 -7.60799105e-03
 -4.33324986e-03 -2.64840663e-03 -4.09981040e-03  7.17669865e-03
 -5.32317905e-03 -5.67809665e-03 -3.67286463e-04 -1.61129064e-03
  1.70650045e-02 -2.87109507e-03  5.70868344e-03 -1.21090874e-03
 -6.38741523e-04 -7.29485826e-04 -9.11036264e-03  1.30425474e-02
  6.93953178e-03  2.18778500e-03  2.92616484e-03 -6.50033526e-03
  8.56910819e-03  1.97110943e-03  3.60168860e-03  1.18704747e-02
  3.37778818e-03 -4.42004571e-04 -6.21747003e-03 -1.20524198e-02
 -4.15342290e-03  1.15244067e-03 -6.62464761e-03 -3.37102261e-03
  2.01597694e-03  1.06226183e-02  8.89623429e-03 -4.30709609e-03
 -4.32379796e-04 -4.77760776e-03 -1.03166703e-02  4.43896861e-03
  3.29417874e-03  8.43417872e-03  1.36611083e-03 -1.25560878e-04
  6.61130508e-03  4.15835518e-04  2.05750763e-03  2.44874505e-02
 -3.94309553e-03 -5.74048298e-03  5.85752928e-03 -7.24358538e-03
  3.82222385e-04 -2.28489874e-02  6.46996970e-03  4.24033571e-03
 -6.38035718e-03  1.13458670e-02 -4.88906417e-03  3.71082359e-03
 -1.56393305e-02 -5.29825663e-03  1.03522402e-02 -2.90124798e-03
 -2.15895350e-02 -3.01314764e-03  1.26357764e-02  2.73524637e-03
 -1.22786491e-02 -5.98795672e-03  7.01236985e-03  1.43096395e-02
 -1.96490692e-02  1.63969206e-03 -1.03240573e-03  4.68943376e-03
  1.82601534e-03  4.73405240e-03 -1.59889022e-03 -5.97398716e-04
  3.95340031e-03  2.95411991e-03 -6.36273704e-03 -2.58702714e-03
  1.00666974e-02  8.94255493e-03 -6.48539704e-03 -3.93621625e-03
 -3.71366137e-03 -1.35906779e-02 -2.97151070e-03 -1.58934192e-02
 -1.07311619e-02 -4.27705675e-03 -4.29246592e-05 -5.43141767e-03
 -9.70626122e-03 -1.73282142e-02 -1.82764551e-03  4.99353790e-03
 -1.62701263e-02  7.62718772e-06 -5.41949847e-03  1.64897529e-02
 -3.51600798e-04  1.44540097e-03  3.42671038e-03 -3.50197532e-03
 -2.61083409e-03  1.39210198e-02  2.49965739e-03 -1.03351363e-02
  6.98913533e-03  2.13219591e-03  5.92619912e-04  9.81453183e-03
 -3.15644962e-03  1.03652141e-03  9.18347973e-03  8.25187423e-03
 -1.81521861e-02  4.23717033e-03 -1.73072127e-02 -8.97100679e-03
  3.55278148e-03  5.07473375e-03  6.41993523e-04 -1.15675552e-02
  1.06590319e-02 -3.88589503e-03  3.81866311e-03  1.09256856e-02
 -2.23202202e-03 -1.09631553e-02 -1.97511463e-03  5.70558495e-03
  7.54090537e-04  2.67583827e-03 -3.57761622e-02  1.10853013e-03
  7.61725577e-03  4.00706669e-04  1.29697765e-02  1.38993588e-03
 -8.50471672e-04  2.14278916e-03 -1.87328367e-02  1.85340513e-02
 -1.79504353e-02  2.89383595e-03  1.02083715e-02 -1.34188909e-03
  6.66286399e-03 -5.29118158e-04  4.09148611e-03  1.80315050e-03
  3.10213754e-03 -2.26603882e-03 -3.25816275e-03 -7.73934776e-03
 -3.50382435e-03 -9.18566930e-03  2.47526068e-03 -6.19131464e-03
 -3.07221830e-03  1.90488469e-03  6.17772189e-04  2.39569937e-03
  2.54336132e-03  8.80159742e-03 -3.33413407e-03  7.13919523e-03
 -1.20074096e-02  2.27045431e-02  6.18247697e-03  8.09250951e-03
  1.05220020e-02  2.40158332e-03  8.23817654e-03  1.19047341e-02
  2.10054793e-02  5.48388616e-03  1.47169675e-03 -1.06888374e-02
 -1.35824844e-02  3.84984054e-03  9.90403998e-03 -9.02576750e-03
 -6.16646745e-03 -1.23577856e-03 -5.28996594e-03 -1.65705268e-02
 -2.55610527e-03  6.74200255e-03 -3.72637521e-03  7.66258822e-03
 -5.84848685e-03  3.07110714e-03 -2.78396758e-03 -8.64991038e-03
 -7.15143257e-03  2.00051922e-04 -2.24075155e-03  2.31463991e-03
 -6.19236342e-03 -1.22262984e-02  1.31326940e-02 -1.64688159e-03
 -1.71492996e-03 -5.98006420e-03  3.55728065e-03 -1.09768195e-02
 -1.26527941e-03  4.64548489e-04 -1.06683231e-02 -4.99350676e-03
 -1.33616991e-02 -2.24216860e-03 -1.12651461e-02 -5.66906498e-04
 -7.69870069e-03 -6.84113495e-03  7.96903308e-04 -1.20787824e-02
 -2.67218523e-03 -2.48711287e-04  9.76373397e-03 -2.26944788e-03
 -7.61835961e-03  1.22227506e-02  7.91773885e-03 -4.70402643e-03
 -2.85089464e-04 -1.12145530e-02  3.91066327e-03  3.41786693e-03
 -3.88673771e-04 -7.38345088e-03  2.90643272e-03  1.15901048e-02
 -7.55364985e-03 -1.37448291e-02  6.41334664e-03 -9.80710858e-03
 -5.37402354e-03  7.51116982e-03  1.52183452e-04  6.34819053e-03
  5.77314958e-03 -9.00104456e-03 -9.75673984e-03 -2.72873411e-03
 -1.26169463e-02 -9.01750352e-03 -1.48339506e-02 -1.33578858e-03
  1.37012678e-02  4.44648103e-03 -8.38632410e-04  3.27891378e-03
  7.74136161e-03 -1.99212405e-03  5.36787908e-04 -1.12731980e-02
 -9.21988528e-04  5.69111469e-03 -8.08031107e-03  6.52157864e-04
  1.86551030e-03  6.51041431e-03  9.02265892e-03 -1.28183337e-03
 -1.44851675e-02 -8.43732580e-03  6.62461366e-03 -5.90191922e-03
 -1.24091449e-03  4.35137765e-04  3.30852499e-03  3.29086863e-04
 -7.77681678e-04  1.04266616e-02  1.88418472e-03  1.12214814e-02
 -5.86233203e-03 -4.45302453e-03  3.24077526e-03  8.32565987e-03
  2.39577901e-03  9.11183295e-03 -1.69786517e-03 -4.93463418e-03
 -8.53814980e-04  6.39220546e-03  5.44778697e-04  8.71448285e-03
 -5.48456963e-03  6.08887520e-03 -1.17289823e-02  2.95795165e-03
 -4.04105040e-03 -2.64903205e-03  5.99318652e-03 -1.74809352e-03
  1.05436869e-03  4.45765118e-04 -8.97247515e-03  8.13802092e-03
 -8.65001646e-03  1.87884882e-03 -3.56629074e-04 -1.55700360e-02
 -7.77543290e-03 -7.08879100e-03 -5.99676414e-03  4.33009804e-03
 -4.32916139e-03 -3.00571212e-03  4.32913986e-03 -3.37156573e-03
  5.68654851e-03  9.35409155e-03 -7.93981316e-03 -8.54837849e-03
  3.96084365e-03  1.77094490e-03 -6.48049239e-04  3.00790149e-03
  1.33648395e-02  5.43555030e-03 -2.13977423e-02 -1.04929491e-02
 -7.36375159e-04 -2.08036832e-02 -1.33615383e-02  1.15333986e-02
  1.68583161e-02  5.31116270e-03  9.16653744e-03  1.06094781e-02
 -6.55294428e-03 -5.59931599e-03 -4.02277754e-03 -6.99785243e-03
 -6.02995093e-03 -6.64641569e-03 -1.08380872e-03 -1.84101255e-02
  6.56433424e-03  3.78557050e-03 -1.69557697e-03  6.16157413e-03
  8.59013316e-03  2.63684002e-03  8.85864305e-03 -3.52267413e-03
  1.14136396e-02  1.21981857e-03 -9.53064086e-03  1.11010472e-02
  6.20908919e-03  8.30406698e-03  1.02220755e-02  4.21100181e-03
 -1.14944723e-03  4.24224530e-03  2.37184763e-02  4.56629552e-04
 -2.33345971e-03  7.90504583e-03  5.14380126e-03  8.53724773e-04
  4.21369284e-04 -3.65627683e-03 -2.79298693e-03  1.10894721e-02
 -2.72027331e-03 -1.51322410e-02 -1.59451970e-02 -7.75182481e-03
  1.51366356e-02  2.82964133e-03  5.40172187e-04 -2.50209217e-03
  4.33619035e-03  9.54580752e-03  3.19643583e-03  2.66163265e-03
 -3.08174777e-02 -9.40509756e-04  6.34436771e-03 -5.36892694e-03
  1.79638684e-03  8.06370636e-03 -1.12880214e-02  1.92162011e-04
 -9.89921307e-05  8.98334519e-03 -5.63616079e-03  1.06384720e-02
 -6.52258387e-03  1.01893216e-02  1.80929794e-03 -4.16456797e-04
  4.19828112e-03  5.37102393e-04 -1.18143270e-03  9.24570961e-03
 -1.13299848e-02  7.88466357e-03 -5.82650060e-03  1.90056075e-02
 -1.30208275e-02  3.47672075e-03 -8.90054507e-03  4.83090554e-03
  4.82108232e-04 -1.10125595e-02  1.51890967e-02 -5.82056740e-03
  3.96920618e-03  7.91436014e-03 -1.27634045e-02 -1.68771660e-03
  2.49456164e-03  3.66732441e-04  2.73160220e-03  1.16425512e-02
  1.44233372e-02 -2.25569770e-03 -8.16561094e-03  2.16372947e-04
 -1.01308489e-03  7.81161558e-04 -6.15746113e-04 -1.16657116e-02
 -2.28016377e-03  1.68777741e-03 -8.14717789e-04 -1.88434122e-02
  1.62033095e-02  7.08690347e-03  9.87303804e-04 -9.00586272e-03
  1.26638494e-02 -4.69268914e-04  2.07297629e-03  7.52219664e-03
  5.32249122e-03  6.60205520e-03 -1.27258468e-02  2.63065444e-03
 -1.64371204e-02 -5.70134727e-03 -1.97913511e-02  6.88554702e-04
 -9.72381254e-03 -6.48527236e-03  1.62203315e-03 -5.76605497e-03
 -5.51508419e-03 -6.45625689e-03 -7.13033825e-04 -1.34352261e-02
 -1.21190316e-02  2.24243628e-03  6.45296872e-04  5.12612215e-04
  5.25617657e-03 -8.07227713e-05 -7.55581651e-03  3.51538291e-03
  1.69827636e-03  1.27469931e-02  5.66761724e-03  1.01006605e-02
  5.51844939e-03  3.54693534e-03  2.04987739e-03 -6.81097766e-03
 -3.84031720e-03  1.33888946e-02 -3.05819956e-03 -3.31927765e-03]"
FUJI SNOW,color,w,InterfaceGAN_LR_0.1_18_color_True,interfaceGAN_beauty/color/,0.26,"SEED PEARL, FUJI SNOW, ORANGE ESSENTIAL, RIVIERA BEACH, NECRON COMPOUND, WOODEN CABIN, AMERICAN ROAST, ANTIQUITY, NEPAL, FIREBIRD TAIL LIGHTS, CHAI TEA, VENOM WYRM, SUPERIOR BRONZE, ALPHA BLUE, FALU RED, CRUSADE KING, AWARD BLUE, PITMASTON PEAR YELLOW","[ 5.12327732e-03 -1.46309884e-03  6.00023614e-03 -1.13852648e-02
  3.50765678e-03  2.72283726e-04 -3.13593905e-03  6.48691810e-03
 -1.59114693e-02 -5.66092960e-03 -2.40490792e-02  7.39507447e-03
 -9.35025232e-03  9.48206367e-03  9.79816877e-03  9.98622000e-04
  1.05300634e-02 -2.73418303e-03 -8.03728413e-03 -1.79170728e-02
  8.34067056e-03  3.51247228e-03 -1.10250554e-02  7.72937347e-03
  2.02451717e-04  3.27751988e-03 -4.38570586e-03  2.11337413e-03
  2.16849245e-03 -2.54722826e-02  2.53500594e-03  7.34619328e-03
 -1.25408878e-02  5.36283360e-03  5.76211587e-03  6.60419964e-04
  6.17198532e-03 -8.09771123e-03  1.81426134e-02  4.62049965e-04
  8.12862446e-03  1.22159657e-03 -5.10696580e-03  1.07831311e-02
  9.00293365e-03  1.28226652e-02 -7.38228940e-04 -9.18784524e-04
  1.13110709e-02  2.06538852e-03 -1.87221996e-03  2.46296616e-04
  3.72019165e-04  1.56019285e-03 -2.29751273e-02 -1.79526174e-02
  1.46694982e-03  4.99450356e-03 -7.71935102e-03 -2.86865059e-02
 -8.20792395e-03  8.10481685e-04  2.82762419e-02 -6.19190796e-03
  5.71951405e-03 -1.46509824e-03  4.19912429e-03  6.00229989e-03
 -1.45304042e-02  6.63374795e-03  1.76855454e-02  1.12445743e-02
 -7.80454536e-03 -2.36812264e-02 -1.02824909e-02  1.81202325e-02
  4.46590357e-03 -6.85963339e-03 -4.67409910e-03 -5.15870026e-03
  9.61328694e-04 -1.14952410e-02  5.22668683e-03 -2.26634253e-02
  3.46373187e-03 -9.79947513e-04 -5.20509295e-03 -1.47070193e-03
 -5.28430468e-03  9.28554968e-04  1.13776940e-03  4.43671475e-03
 -1.48525218e-02 -1.38885407e-03 -5.99503367e-05 -4.75533337e-03
 -1.78139290e-02  2.77990925e-03  5.96924449e-03  5.18221735e-03
 -1.90853142e-02 -1.28689386e-02 -6.03558705e-03  1.14527489e-02
 -3.90335836e-03  4.56943016e-03 -1.68759259e-02 -2.03265431e-03
 -7.57389875e-03 -1.24816637e-02  7.67377000e-03  9.39999505e-04
  1.51861590e-03 -2.12785062e-03 -4.30048447e-03 -2.78039811e-02
 -2.25400631e-02 -8.81494836e-03 -1.31324897e-02 -6.96844520e-03
 -7.80412600e-03 -1.24340521e-02  1.52147308e-03 -1.77039868e-02
 -6.71319070e-03 -1.28613474e-02 -2.58257228e-03  2.85970858e-03
 -1.72829665e-02  5.36046930e-03 -8.28064813e-03 -5.75228632e-03
 -4.66370971e-02 -9.01176678e-03 -6.26923560e-03 -8.66985458e-03
  1.49529460e-02  1.76518230e-02  2.45434228e-03 -1.30208578e-02
  1.16950104e-02  1.40944523e-02  2.76780343e-03  7.51263805e-03
 -6.92884152e-03 -1.64482068e-04  9.69634440e-03  3.20099548e-03
 -5.09135432e-03 -1.00322780e-02 -7.80300161e-03 -8.01767443e-03
  7.76186712e-04  5.51233403e-03  6.41107978e-03 -5.79441460e-03
  1.49899901e-02  1.44278747e-02  3.61904129e-03  9.04805925e-03
 -4.77285178e-03 -1.06877388e-02 -6.61658572e-04  1.26537196e-03
  5.23578754e-03  1.60206076e-03 -4.91418374e-03  9.58361672e-03
 -2.07522519e-03 -5.14948236e-03  2.51564129e-03  2.36595135e-03
  1.27234792e-02 -8.22386263e-03 -2.58695178e-03  1.97962270e-02
 -1.29910553e-02  4.81118308e-03 -9.45990680e-04  4.90767388e-04
  4.03513282e-03 -4.70954378e-03 -7.21599160e-05  1.71695157e-04
 -5.44028346e-03 -1.13629943e-02  1.12112606e-02 -1.38534600e-02
  7.56878283e-03 -2.68097837e-02 -1.41996156e-02 -3.88326179e-03
 -2.30116152e-03  9.12060159e-03  3.30091318e-03  1.23837992e-02
 -1.23343263e-02  1.12680000e-02 -1.92431706e-02  1.34139944e-03
 -6.37251196e-04  2.57270144e-02  1.11940408e-02 -1.12742924e-02
  1.27612774e-02  3.43693794e-03  6.69885167e-03  5.45727644e-03
  1.57656279e-02  5.12336828e-03  1.61856889e-03 -1.88214050e-02
 -1.12337257e-02 -3.62936964e-03 -1.52067018e-03 -1.38936434e-02
  9.44612745e-04  3.79411124e-03  2.44111947e-03 -9.23182211e-03
 -9.57116176e-03  8.14108152e-03 -2.10421091e-02  2.16512238e-02
  1.73272490e-02  1.66613532e-02  8.78252911e-03 -1.85191924e-02
 -9.69592499e-03  3.50351373e-03 -1.57423385e-03 -4.13457244e-03
  5.52883429e-03 -1.54854254e-02  8.91912285e-03  4.81741690e-03
  2.39858562e-03 -3.82680402e-03  6.02866602e-03  4.26718099e-03
 -7.01060788e-03  5.40193772e-03  1.82668926e-03 -6.10321537e-03
 -1.75424205e-02 -1.49274052e-02 -1.89620341e-02  5.82466066e-03
 -1.04044324e-02 -1.81698342e-02  5.13287873e-03 -4.11053485e-03
 -1.29523217e-02 -1.10854239e-03 -8.60029132e-03 -9.51719430e-03
 -7.57313970e-03  1.75765449e-02 -9.40059898e-03 -1.84814243e-02
 -6.92948107e-03 -1.85375995e-02 -8.33719434e-03 -3.84793221e-03
 -2.55689588e-03 -1.94606968e-02  2.17538408e-03  6.68889012e-03
 -9.68073351e-03 -8.07663561e-03  1.09521651e-02 -1.76491805e-02
 -7.52584394e-03 -1.11297926e-02  1.46649574e-03  1.65950691e-02
  7.47452209e-03 -8.61486178e-04  8.15906865e-04 -1.14475896e-02
 -9.85806909e-03 -1.61634066e-02 -8.21932410e-03 -7.18193654e-03
  1.41889999e-02 -1.51462349e-04  5.92721183e-03  8.16418652e-03
 -3.90521219e-04  7.02713845e-04  9.51886052e-03 -5.55856477e-03
  8.11732338e-03 -2.60943390e-02 -5.21712240e-03  1.22793434e-02
 -3.96797784e-03 -8.32301142e-03  1.35883668e-03 -7.19751500e-04
  1.23756354e-02 -5.38430304e-03  2.25007185e-03 -1.24021236e-02
 -6.95151189e-03 -5.86594236e-03  8.29907921e-03 -1.86650539e-03
 -7.91678791e-04  2.05621506e-02 -8.13218106e-04  7.95813160e-03
 -9.25564076e-03  5.91719822e-03 -4.61161452e-03  5.88971239e-03
 -1.11647642e-03  3.61580262e-03 -9.34005846e-03 -1.42083722e-02
 -1.06577234e-03  1.02655519e-02  8.04580669e-04  1.03213840e-02
 -6.39983744e-03 -1.29779596e-03 -1.57927859e-02 -6.89674894e-03
 -4.12357801e-03  7.15781261e-03  1.08916736e-02  4.41861865e-03
 -4.58080221e-03 -1.19495463e-02  4.03162533e-03  5.49052945e-04
  7.23673198e-03  1.88634565e-02 -1.14365422e-02 -1.60205210e-02
 -3.07940233e-03 -1.77173242e-02 -9.55862918e-03  3.40846959e-03
 -1.77275789e-02 -8.11377389e-03 -1.01725684e-02 -4.87708870e-03
  2.35808100e-03  1.27346228e-02  1.98805985e-04 -1.19095415e-02
 -1.30823291e-03 -4.96357189e-03  2.70607142e-03  6.91327850e-03
  3.60853026e-03  1.95953585e-02 -1.12571132e-02 -1.51597856e-02
  1.26235554e-02  5.81314027e-03  1.17965655e-04  1.85960937e-03
  1.23329561e-02  1.23107827e-02  5.03942583e-03 -3.13288605e-03
 -1.46546381e-02 -8.69854379e-03 -2.04273167e-02 -2.67818252e-04
 -3.66796284e-03 -5.27269749e-03 -1.20827751e-02 -1.57449644e-02
  1.10627194e-02  1.13486311e-02 -1.19399472e-02  1.73192134e-03
  1.10859850e-02  5.37800581e-03  1.04060495e-02  5.87539796e-03
 -1.85240085e-03 -1.55597723e-02  2.42231275e-04 -7.98532499e-03
  1.23154889e-02 -3.18106694e-03 -2.29677459e-03 -4.32861284e-04
  8.91014242e-03 -3.63047806e-03  2.02667930e-02 -1.61701591e-02
  8.11605270e-03  6.18283011e-03  1.48484858e-02 -3.94053956e-03
 -8.59325110e-06  4.75957779e-03 -1.80921752e-03  8.15139157e-03
  2.70933816e-03 -3.89516489e-03 -1.06272207e-02 -2.11943252e-04
  1.15615896e-02 -1.62446149e-03 -1.50343058e-02 -2.27586916e-03
 -3.72111917e-03  8.83862410e-03  2.28665260e-03  5.77260383e-03
  3.96070925e-03 -6.66796684e-03  9.63031814e-03  1.15656723e-02
  4.52626552e-03  9.82451409e-03 -2.39838532e-02  8.63186128e-03
 -5.68254319e-03 -1.24887488e-02 -7.07128433e-04  1.56676048e-02
 -7.44815220e-03  1.84665128e-02  3.78048840e-03 -1.34389485e-02
 -4.35056918e-03  2.87323621e-03  2.24338333e-03  1.19925248e-02
 -1.00292401e-02  5.67829358e-03 -5.36592385e-03  5.09769228e-03
 -2.10076840e-02 -2.25969617e-03 -7.41121394e-03 -2.70503416e-03
  7.96585434e-03 -2.25415984e-03  1.12148336e-02 -1.52350210e-02
  8.19006386e-03  1.62675364e-02  1.01350808e-03  1.46078031e-03
 -2.85417634e-03 -1.02375106e-02 -5.41456732e-05  3.85608573e-03
  4.98302584e-03 -1.25939774e-02 -1.53831245e-02  1.53367966e-02
  1.68993879e-02  1.84177946e-03 -4.63709501e-04  2.45988905e-04
  9.31119126e-04  1.16798741e-03 -2.54557291e-03 -1.37839273e-02
 -7.39056978e-03 -4.63782190e-03  1.75649620e-03 -1.84379730e-02
 -1.14057233e-02  6.19598955e-03  1.86875662e-03  3.38625851e-03
  3.87396710e-03 -8.93435023e-04 -1.42007313e-02  6.72847967e-03
 -2.60581116e-02 -1.22070491e-03 -2.27592338e-02 -1.64612784e-02
 -1.04218177e-02 -1.45422949e-03 -3.47567339e-03  1.02248276e-02
 -1.98705507e-02  9.09490882e-03 -1.26209335e-02 -4.47962862e-03
  7.77535896e-04  1.04341985e-02  1.06053527e-03 -9.88856495e-03
  1.62018618e-02 -1.20816798e-02 -1.19539096e-02 -1.83842058e-03
  1.42136578e-02  1.76685868e-02 -1.28372820e-02 -3.58975773e-03
  3.09115233e-02  4.43446379e-03  1.50931433e-02  4.88910953e-04
  6.17132973e-04 -6.79716042e-03  1.54616556e-02  9.74032867e-03]"
