Feature,Variable,Space,Method,Subfolder,Performance,Classes,Bins,Separation Vector
0.0,Double Complementary,w,InterfaceGAN_LR_0.1_8_Double Complementary_True,interfaceGAN/double_complementary/,0.97,"BW, Brown, Yellow, Cyan, Blue, Green, Red, Magenta","[0, 35, 70, 150, 200, 260, 345, 360]","[ 9.29190385e-02 -6.70876734e-02  4.97452902e-02  5.09820303e-03
  1.40788009e-02 -1.84829909e-02 -1.73140056e-04  7.61745565e-02
  3.58719942e-02 -1.20011167e-01  3.71477897e-03  2.01644639e-02
  1.06917806e-01  2.06080352e-02 -1.13867962e-02  5.48102751e-03
 -4.12662763e-03 -8.85709798e-03  1.01379212e-02  5.46802957e-02
 -4.29097719e-02 -8.86840989e-02  4.87760298e-02  3.85808640e-02
 -5.27952399e-02 -6.95664035e-02  3.40715627e-02 -1.05912227e-01
 -1.80994350e-03 -3.12662046e-03 -5.33316149e-02 -1.97098298e-03
 -1.23658477e-02 -5.41801369e-03 -7.30763614e-03 -3.19372024e-02
 -4.27983951e-02 -3.16168998e-02  5.86685991e-02 -8.22676684e-03
 -4.44461591e-03  2.58705671e-02 -2.79658285e-02  1.53385155e-02
 -8.69218204e-02 -4.49055129e-02  6.38714982e-02  2.24820324e-03
 -1.34264077e-01  2.52839073e-02  1.29163790e-02 -2.20980465e-02
 -4.51929001e-03 -2.83062728e-02 -1.13796497e-02  2.41786753e-02
 -3.04706307e-02 -1.34346608e-02 -2.62776245e-02  5.60520557e-02
  2.02789588e-02  6.34991078e-02 -7.24261920e-03 -8.27900189e-04
  3.82581154e-03 -9.72563863e-03  3.66200741e-02  8.34490023e-03
 -7.86350658e-02  4.06555402e-03  5.80588259e-02  6.68185851e-02
 -4.09966696e-02  6.59359387e-02 -9.62113269e-03  4.77339226e-02
  1.29151608e-02 -1.05062931e-02 -1.37203813e-02  8.91381291e-04
  6.43985175e-05  4.68511303e-02 -2.38397213e-02  3.25198138e-02
 -8.57977757e-02  8.93213506e-03  2.37548292e-02  9.08063156e-03
 -4.10307012e-02 -4.90829950e-02  9.65305161e-03  2.75495682e-03
 -9.16147527e-03 -9.04534396e-03  9.08695347e-02 -1.69295117e-02
 -2.15492139e-02 -1.24914898e-02  6.83668517e-02 -8.62545687e-02
 -1.36522324e-02 -5.70164117e-02 -3.20459675e-02  2.85209231e-02
 -6.91339790e-02  3.38599478e-02  3.64434466e-03  3.80839394e-02
  8.43939068e-02 -2.27562255e-02 -2.22279880e-02 -2.64311191e-04
 -3.72128958e-03  2.45730452e-02 -3.84936107e-03  2.76564060e-02
  5.92588852e-02 -2.79668667e-02 -1.08859707e-02 -1.72366760e-02
 -1.74606517e-02 -7.46557165e-03  6.65347271e-02 -7.43419719e-03
  6.81480772e-02 -5.21536128e-02  3.28974234e-02 -1.16155993e-02
  1.05597907e-02  2.47440143e-02 -2.12515003e-02  3.75938950e-02
 -5.21816015e-04  4.37339903e-02  1.35759556e-02 -5.95477064e-02
 -1.75392970e-02 -1.17185150e-02  1.52767916e-02 -5.36291992e-03
 -1.32797740e-02 -8.02124103e-03  6.74420462e-02 -5.51678472e-02
  6.17092106e-02  1.01545270e-01 -1.29984807e-03 -1.49608740e-02
 -4.72827319e-02  1.27498511e-02  7.32345461e-03  6.19735100e-02
  1.13346504e-01 -2.14735053e-02 -7.71905478e-02 -5.31151138e-02
 -3.28920364e-02 -3.32946988e-02 -4.37181662e-02 -7.18812378e-02
  4.50277373e-03  2.66528124e-02  4.37136691e-02 -3.43296417e-02
 -8.83054082e-03 -2.89390818e-02 -1.10166898e-01  2.99449540e-02
  1.83737195e-02 -6.16682479e-03  2.63498315e-02  3.43054034e-02
  3.27457903e-03 -2.77059383e-02  4.86292839e-02  7.07714406e-02
 -7.70321182e-02  3.16735626e-02  6.94582938e-02 -1.33967520e-01
 -7.80277225e-02  3.77517293e-02 -1.17884915e-01  1.20532219e-02
 -3.93388023e-02 -2.31660456e-02  8.98717335e-03  3.93313990e-02
 -6.36043668e-02  2.37624060e-02 -2.56874057e-02  1.99242904e-02
  4.74935976e-03  1.59845026e-04  6.58435926e-03  1.25961885e-02
 -1.97395876e-02  5.02188736e-02 -6.79378819e-02 -3.07602195e-03
  1.41523701e-02 -7.59512248e-03  5.21565054e-02 -4.13686614e-02
  4.86724512e-02  6.87994633e-02  5.10039601e-02  1.36814462e-02
  2.17890180e-02  3.28835298e-02 -1.10172843e-02  2.71186646e-02
 -3.63447278e-02  7.95505703e-03  2.20614262e-02 -4.84290071e-03
 -1.48922340e-02 -9.48515664e-03  8.81209023e-02 -9.84477330e-04
  1.76623511e-02 -2.09610829e-02  3.79464117e-02 -5.18331019e-02
 -1.21080012e-01 -6.53207701e-02  1.36296681e-02 -5.12370261e-02
  8.13402389e-03 -7.26954158e-03 -1.00149313e-02 -2.51117726e-02
  2.23989332e-02  3.62242796e-02 -2.70009498e-02  3.98409865e-03
 -6.10561957e-02  9.77048565e-03 -7.86384874e-02  4.50952128e-02
 -4.60847492e-02 -6.54857909e-02  7.15865081e-02 -3.57041161e-03
  2.12791635e-03  1.27775742e-02  3.72083158e-03 -2.77983286e-03
 -2.47099265e-02 -4.96287478e-02 -1.03315559e-02  2.81440193e-05
 -3.12119416e-02 -8.47983519e-02  1.22076607e-02 -3.65744743e-03
  4.74257940e-02 -3.40155720e-02  1.35768873e-02  3.30994556e-02
  5.02357165e-02  8.58032868e-02  9.89555172e-04 -5.47865238e-03
  6.34092032e-02 -3.58978195e-02 -1.56939038e-03 -6.14613212e-02
 -1.02161980e-01  3.53748997e-02 -1.07812236e-01  6.24706148e-02
  6.59714275e-02 -1.99932988e-02 -6.37169745e-02 -3.56187969e-02
 -7.22601644e-03  4.91156451e-02 -1.20798762e-02  7.39428583e-04
 -2.95471068e-02 -3.65460463e-02  5.24963645e-02 -2.14847798e-02
 -2.16134069e-02  4.61864210e-02 -3.38781622e-02  6.13582575e-02
  4.80336893e-02  1.75403219e-02  6.30230091e-02  8.39916976e-03
 -5.87349957e-02  3.42616303e-02  8.00691895e-03  2.54533170e-03
  6.83838629e-02 -4.97025785e-02 -6.61182381e-02  6.23040168e-02
  4.16949913e-02  1.14984425e-01  2.01654899e-02  4.38763467e-02
  5.18896188e-02  3.75724850e-02  1.64679841e-02 -7.23458943e-02
  9.73829561e-03 -1.14655703e-02  3.29017741e-02  2.57620223e-02
 -4.86328253e-02 -2.24494906e-02 -5.97683768e-04  3.52707228e-02
 -2.79843124e-02  7.66027924e-03 -3.60222367e-02 -1.11249926e-02
  1.56540086e-02  1.53187183e-03  1.41093652e-02  7.49923438e-02
 -9.40157716e-02  2.36327086e-02 -7.25023676e-02  1.28878593e-02
 -1.26295259e-01  1.62331798e-02  3.54917653e-02 -1.37527800e-02
 -4.38145768e-02  2.71416020e-02  2.73602810e-03  4.76813652e-02
  4.66659989e-02 -1.33255507e-03 -4.67383595e-02  5.25679275e-02
 -1.39547315e-02  8.57782924e-03  8.22453872e-04  2.50968076e-02
 -3.41489328e-02  2.01375016e-02 -1.09562641e-02  3.62494188e-02
 -6.10566185e-02 -9.12679025e-03 -9.86489759e-02 -7.59538203e-02
 -2.25147997e-02  2.06001084e-02 -2.77079576e-02 -1.65638191e-02
  1.16188332e-02 -2.36151149e-02  3.62877889e-02 -6.81960123e-03
 -1.46768153e-02 -7.08458652e-02 -2.96602454e-03 -1.61979281e-03
 -2.07906453e-02 -5.39261893e-02  1.61165876e-02 -4.38209433e-02
  2.93494511e-02 -5.36245174e-02 -2.67694447e-02  2.46240121e-02
  1.40089126e-02 -5.81063786e-03  2.83981451e-02  1.35634178e-03
  1.50751573e-02 -3.08049045e-02  4.36245296e-02 -1.36923649e-02
 -4.04067475e-02 -4.58366901e-02 -5.76819064e-02  1.81801617e-02
 -2.39207304e-03 -2.85490054e-02  9.53624061e-02  3.59560789e-02
 -3.00447843e-02  1.19713667e-02 -2.76153360e-02  1.30840615e-02
 -4.18238923e-02  1.28227449e-01  2.64869976e-02 -3.20191253e-02
 -3.19664041e-02  5.08384843e-02  3.01377117e-02  6.35909624e-02
  1.23260808e-01 -3.46817906e-02 -6.31034916e-02  7.64436269e-02
 -5.91019498e-03  4.38616406e-02  2.15146275e-02  4.15911179e-03
 -3.57999615e-02  7.77065189e-02 -1.91160306e-02  4.63540096e-02
  2.21001181e-02 -2.84633424e-02 -2.79799025e-02  2.37241144e-03
  3.58497011e-02  2.60127257e-02  6.61989962e-02 -3.26510251e-02
 -1.23894068e-02 -4.00746084e-02  2.44963138e-02  3.94663702e-03
  2.35927490e-02 -1.30356228e-02  2.89130267e-02  5.08169680e-03
 -1.22121345e-02 -9.79824354e-02  7.72919271e-02 -1.01035971e-02
 -4.22005196e-02  2.00583826e-02 -3.76026669e-03 -5.98707026e-02
 -8.82737710e-03  7.55906802e-02 -5.62704236e-02  2.83563912e-02
 -3.14978265e-02  7.11384937e-03  6.13948235e-02 -6.04640934e-02
  4.38675416e-02  7.58246052e-02 -1.04603776e-02 -4.43930945e-03
 -1.17910462e-02 -8.05812447e-02  5.19922237e-02 -9.32034276e-02
  2.32491870e-02  8.81125686e-03 -7.01170822e-03  6.71694496e-03
  2.25282746e-02  6.65994864e-03 -8.37015664e-02 -2.17272451e-02
  7.63910384e-03 -3.56380579e-02  3.33079345e-03  3.00008934e-03
 -3.04431936e-02  1.24325747e-02 -4.39566853e-02 -4.51323599e-02
 -1.97683486e-02  2.07845877e-02 -5.52910345e-03  1.61407815e-02
  6.17259197e-03  1.14777959e-02  2.70914273e-02 -5.31614494e-02
  2.59595588e-02  1.99462914e-02  4.91654846e-02  9.08553276e-02
  1.93287954e-02 -3.56385537e-02  5.47387073e-03  3.76235602e-02
  6.32709809e-02 -1.10671008e-03 -5.64920404e-02  3.50971684e-02
 -5.55661828e-02  4.68702809e-02  1.92267034e-02 -4.90274387e-02
  3.25904971e-03  3.30125313e-03 -3.31277401e-02 -1.08279300e-02
  1.06068740e-02 -1.24883188e-02  2.07227950e-02 -3.95454132e-02
 -1.00053449e-01 -2.55102255e-02 -4.65691176e-02 -3.73042721e-02
  2.61402491e-02  5.82712196e-02  2.30995906e-02  3.26939837e-03
 -9.11355730e-02 -8.98995999e-02  1.20039429e-02  6.09209285e-02]"
0.0,Double Complementary,w,InterfaceGAN_LR_0.01_8_Double Complementary_True,interfaceGAN/double_complementary/,0.97,"BW, Brown, Yellow, Cyan, Blue, Green, Red, Magenta","[0, 35, 70, 150, 200, 260, 345, 360]","[ 0.0858814  -0.06294975  0.05963399  0.0135712   0.02332726 -0.02422581
 -0.01339226  0.05417891  0.02575995 -0.12857237 -0.01449518  0.02975308
  0.0575789   0.04379575 -0.03431466 -0.00564373  0.00144245 -0.00198008
  0.01121764  0.05500595 -0.01952899 -0.07683316  0.03286148  0.04553756
 -0.00685268 -0.06594999  0.0316862  -0.08538249 -0.01207013  0.01136514
 -0.06456942  0.00660823 -0.00050516 -0.02471019 -0.02731859 -0.0353436
 -0.08182855 -0.05513216  0.04797197 -0.02252122 -0.02464944  0.01347811
 -0.01436632  0.01562022 -0.04968337 -0.01299937  0.03016985  0.02459131
 -0.11607764  0.02627639 -0.00091937 -0.0174113  -0.01584775 -0.01934712
  0.00913343  0.0548247  -0.00953966  0.00736033 -0.01619977  0.04391253
  0.01710197  0.07914337 -0.00029479 -0.02195601 -0.00941682 -0.01186585
  0.03696492  0.01917337 -0.09064591 -0.03289968  0.06315894  0.01568649
 -0.03284387  0.08654814 -0.0360731   0.05516403 -0.00178498 -0.03950525
  0.02324286 -0.01529887  0.01992926  0.00938208  0.00810775  0.0478477
 -0.08059136 -0.00108299  0.03488087  0.00836928 -0.04762942 -0.04602214
  0.0131797  -0.00281236 -0.00492971  0.01716791  0.1082306  -0.00411447
 -0.01195989 -0.05118011  0.06520215 -0.10224206  0.01010658 -0.04129515
 -0.0241688   0.01666866 -0.05832504  0.02727778  0.00313408  0.05112555
  0.1005316  -0.0166219   0.00782567  0.01041346 -0.05172408  0.01676076
 -0.03963019  0.00434434  0.05476547 -0.0211582  -0.03146029 -0.02507892
 -0.01512284 -0.01030887  0.06395689  0.02625179  0.06806353 -0.07025027
  0.02661023 -0.00614056  0.02982369  0.03094521 -0.04460519  0.04430469
 -0.00798286  0.05084948  0.00048077 -0.00852737 -0.04299303 -0.00131718
  0.04300873  0.00616691 -0.00226401  0.01414074  0.06695965 -0.05866516
  0.05365171  0.08091255  0.00333217 -0.00582042 -0.03391277  0.02144476
 -0.0003914   0.06423099  0.07072131 -0.01305033 -0.06263457 -0.06387385
 -0.03073488 -0.03703095 -0.06305312 -0.09599317 -0.00238175  0.0166284
 -0.00604156 -0.04388798 -0.00561747 -0.02040956 -0.08947607  0.02516157
  0.01703272 -0.0428684   0.00551592  0.01386984 -0.01797476 -0.04514359
  0.06114436  0.0678565  -0.0702752   0.04805795  0.09199208 -0.13748388
 -0.05867407  0.06504759 -0.10906829  0.00433154 -0.00178844 -0.01771139
 -0.00579428  0.03529476 -0.04228504 -0.00271891 -0.00724039  0.02826679
  0.00541082  0.01799924  0.00678686  0.01740312 -0.04733749  0.02163754
 -0.03361229  0.00384332  0.00946748 -0.02111504  0.01272966 -0.04912289
  0.07340221  0.05034976  0.02502669  0.01591728  0.00656039  0.00434894
 -0.01498528  0.02495742 -0.00701381 -0.00384343 -0.00611351  0.0332794
 -0.0047728   0.00881741  0.05100348  0.01021138  0.02793502  0.00869507
  0.03738702 -0.04171725 -0.1172757  -0.06776189 -0.02446784 -0.05539078
 -0.00389252  0.00768903 -0.03241292 -0.02777115  0.03440207  0.04085678
 -0.01935071  0.04972016 -0.05242484 -0.00017837 -0.05851468  0.05271721
 -0.05041628 -0.07274265  0.06194189  0.0100475   0.03262238 -0.00038363
  0.01014206 -0.01522078 -0.02024087 -0.06423495 -0.01454448  0.01900753
 -0.0410559  -0.0859619   0.01443942 -0.00662517  0.04917071 -0.02360088
  0.01326916  0.05388963  0.04431389  0.09074254 -0.00990395 -0.0233606
  0.08517832 -0.01227857 -0.00028758 -0.04803371 -0.0825611   0.00113202
 -0.13772107  0.06943342  0.06437149  0.00786051 -0.11571007  0.01457312
 -0.01871446  0.05363259 -0.003462    0.00960726 -0.05045397 -0.02838
  0.04678372 -0.01448866 -0.01006557 -0.03005204 -0.03772     0.06201269
  0.03891466  0.00491533  0.08674304  0.01025781 -0.0476488   0.06606868
  0.01383213  0.03884174  0.08378657 -0.04564056 -0.06048292  0.05192993
  0.00643958  0.11838603  0.0127635   0.04053787  0.04743684  0.0669899
  0.00782332 -0.06558158  0.032227   -0.05827012  0.03740236  0.04656119
 -0.03323605 -0.03732249  0.03160075 -0.00349898 -0.01519628 -0.01297354
 -0.04594462 -0.02095099  0.00532002  0.01237889 -0.01052413  0.05577415
 -0.04207943  0.01948882 -0.0371272  -0.00123421 -0.11203949  0.01744459
  0.04221519 -0.01020939 -0.0462614   0.02326543  0.00502186  0.01718598
  0.04458843  0.02053775 -0.03303322  0.05598525 -0.00409576  0.01499781
  0.00910894  0.02053814 -0.02501019  0.0273973  -0.03303132  0.0133421
 -0.08301789 -0.00209748 -0.08028698 -0.08237967 -0.018877   -0.02154171
 -0.03319605 -0.01743284  0.01979879 -0.02020093  0.03692774  0.01478575
 -0.01869415 -0.0614029  -0.01146515 -0.00042235 -0.020681   -0.05816637
  0.02005005 -0.00030445  0.04449315 -0.05171247 -0.02278929  0.0525909
  0.00186565  0.03681971  0.07439207  0.01155667 -0.00340148  0.00027655
  0.06083462 -0.02053151 -0.04304287 -0.03346952 -0.06479552  0.03576249
 -0.00614967 -0.03845531  0.09012571  0.07231651 -0.01571568 -0.01809681
 -0.08372567  0.00945607 -0.01587584  0.08243441 -0.02084088 -0.0346568
  0.005431    0.0125857   0.04376397  0.07009615  0.09627296 -0.07873492
 -0.03519644  0.08118651 -0.01608404  0.01451467  0.04199555  0.0115581
 -0.03993158  0.08823039 -0.02141988  0.03483462  0.02197163  0.00911523
 -0.03964129 -0.0159291   0.03443558  0.00480492  0.06873582 -0.02883046
 -0.01102418 -0.02798113  0.0085158   0.01656049  0.00599751  0.02704362
  0.03374538 -0.00927614 -0.03075669 -0.07706842  0.0864197  -0.02988608
 -0.02304016  0.05100864 -0.03407067 -0.07118974 -0.0020197   0.06530164
 -0.05898968 -0.02775354 -0.01617326 -0.05166686  0.05061351 -0.06688972
  0.04745403  0.07432826 -0.0234441   0.00374686  0.0023192  -0.09526987
  0.01844717 -0.12303898  0.01141143 -0.00814621 -0.00636055  0.0038798
  0.00470389 -0.01968878 -0.07411136  0.03004794 -0.01806578 -0.02760302
 -0.01122036  0.0482713  -0.00327759 -0.00106737 -0.0149333  -0.04335645
 -0.02257476 -0.00069295 -0.01174544  0.01444437 -0.01344533 -0.01758293
  0.01615284 -0.06508565  0.02630043  0.00649822  0.04308733  0.09215013
  0.04520574 -0.01794095 -0.02692102  0.03988176  0.05214758  0.00851954
 -0.04930592  0.03182005 -0.0515186   0.07712667  0.0471683  -0.05669119
 -0.03305438 -0.02444344 -0.01917295 -0.0024473  -0.01268426 -0.02440942
  0.00542543 -0.04477392 -0.07580759 -0.04101116 -0.02317918 -0.05625487
  0.01894189  0.06174447  0.05064921  0.0267372  -0.10550099 -0.06336646
  0.01899161  0.0425176 ]"
0.0,Double Complementary,w,InterfaceGAN_LR_1_8_Double Complementary_True,interfaceGAN/double_complementary/,0.97,"BW, Brown, Yellow, Cyan, Blue, Green, Red, Magenta","[0, 35, 70, 150, 200, 260, 345, 360]","[ 7.91109201e-02 -4.22548881e-02  6.07482122e-02  3.06700361e-02
  9.58424902e-03 -1.65563308e-04  8.09029637e-04  8.61950910e-02
  1.42893822e-02 -1.28219516e-01 -1.20346063e-02  3.87476441e-02
  9.32552369e-02  3.54269309e-02 -2.67707924e-02 -1.67357992e-03
  9.76996451e-03  2.89974746e-02  1.95975615e-02  5.04121909e-02
  1.02151014e-03 -7.67700930e-02  2.26021625e-02  1.39010944e-02
 -5.27371935e-02 -5.34548047e-02  4.57272803e-02 -8.77331766e-02
 -1.47743752e-02  2.57060249e-02 -8.04560183e-02  1.30640568e-02
 -5.25482676e-03  7.55250869e-03 -2.38060947e-04 -2.02696700e-02
 -3.98758642e-02 -2.65849666e-02  3.95725946e-02 -1.38588178e-02
 -2.38504886e-02  2.38685264e-02 -3.10731799e-02  4.45360855e-02
 -7.58237407e-02 -2.90425535e-02  5.75936365e-02 -6.20457818e-03
 -8.68998662e-02  9.80002715e-03  3.65504625e-02 -1.63440908e-02
 -1.07332598e-02 -2.14265599e-02  5.29464808e-03  4.55732125e-02
 -2.28137663e-02 -1.29865696e-02 -1.76655985e-02  3.85535377e-02
  2.51477959e-02  9.13934994e-02  1.08907270e-02 -1.43936819e-02
  9.87110027e-04 -7.22925520e-03  5.04898820e-02  2.47696710e-02
 -1.04613936e-01  4.19728642e-03  4.50544913e-02  7.03344112e-02
 -4.90225900e-02  6.14577485e-02 -2.95540671e-02  4.10672003e-02
  1.62237255e-02 -1.23302120e-02 -1.58452114e-02  8.66157113e-03
 -1.17344090e-02  2.12102729e-02 -1.53270340e-02  2.32906460e-02
 -8.32437886e-02 -3.51256720e-03  2.34573683e-02  7.97606801e-03
 -3.05978438e-02 -3.89338490e-02  1.38686541e-02 -3.68044506e-03
 -2.77404630e-02 -3.05264700e-03  6.26763307e-02  2.17776000e-04
 -1.31861151e-02 -4.60126662e-02  7.00402543e-02 -7.99836972e-02
 -2.15496573e-02 -4.62146946e-02 -2.26496966e-02  1.60142115e-02
 -5.73081623e-02  1.93561923e-02  1.62831154e-02  3.03553725e-02
  9.71617900e-02 -4.75776603e-02  2.40703729e-02 -1.29698006e-02
 -2.76077549e-02  1.08559471e-02  2.60334108e-03  1.50653014e-02
  4.76633352e-02 -2.60086258e-02 -2.81497441e-02 -3.26450565e-02
 -7.40603292e-03 -3.93512784e-02  5.79447124e-02 -1.94123441e-03
  7.52392217e-02 -4.51485552e-02  3.80266503e-02 -3.22962895e-03
  5.10148143e-03  3.73612572e-02 -3.96863862e-02  3.49046393e-02
  1.73759496e-03  4.01135334e-02  1.21680314e-03 -2.60453351e-02
 -1.81341668e-02  2.81197433e-02  4.26557315e-02  3.21633996e-03
 -1.07743465e-02 -2.15212499e-02  7.10006389e-02 -6.60735389e-02
  5.34898918e-02  1.06938309e-01 -1.16598394e-02 -3.07328426e-03
 -5.07012599e-02  4.66399389e-02 -2.76794077e-03  4.01353955e-02
  7.94333773e-02 -5.05659266e-03 -8.00102712e-02 -5.95088749e-02
 -5.55857287e-02 -5.02776424e-02 -4.10988894e-02 -7.55969125e-02
 -9.03550493e-03  2.38418016e-02  2.74794754e-02  1.33787696e-02
 -5.24541148e-03  1.94849427e-02 -1.04691702e-01  2.98447777e-02
  2.63237673e-02 -3.07111293e-02  1.71473054e-02  1.04864649e-03
 -1.98757232e-02 -6.23305266e-02  4.26727682e-02  8.01921013e-02
 -9.24080357e-02  5.89254817e-02  7.35290495e-02 -1.47979920e-01
 -6.03556363e-02  4.68794036e-02 -7.08454311e-02  2.46188808e-02
 -3.35981772e-02 -2.67772050e-02  3.06390354e-02  2.78269480e-02
 -6.90898799e-02 -1.91166112e-03 -6.89749157e-03  2.56309762e-02
  2.47758699e-02  2.52051815e-02 -6.33035066e-03  4.30422137e-02
 -4.36723195e-02  1.72155840e-02 -5.30721095e-02 -2.53550878e-02
  9.47814885e-03 -1.02402186e-02  8.05428264e-03 -6.25322320e-03
  2.86901402e-02  3.56940367e-02  3.60288837e-02 -1.66349928e-03
 -2.35322710e-03 -5.14596399e-02 -3.67205822e-02  2.15615971e-02
 -4.83541286e-02  1.29802972e-02  1.25391922e-02  2.70257197e-02
 -1.43161184e-03  1.36355999e-02  7.46266220e-02  2.33902356e-02
  4.38069037e-02 -5.43795469e-04  5.14294961e-02 -3.73416845e-02
 -1.42249163e-01 -5.28773461e-02 -6.30422105e-03 -3.53468010e-02
 -7.30294833e-05  2.09150231e-02  7.27017500e-03 -2.11088805e-02
 -5.03501304e-03  7.45342756e-02 -3.90789638e-02  4.67340713e-02
 -5.96466670e-02  1.47327031e-03 -9.75334424e-02  2.44987828e-02
 -5.29486702e-02 -6.88361179e-02  3.91787122e-02 -9.21803676e-03
  3.34440029e-02  8.12732370e-03  1.38980897e-03 -3.21950659e-03
 -2.33736566e-02 -5.12330731e-02  2.15338519e-03  4.10263555e-02
 -1.66490817e-02 -8.57853591e-02 -1.00297070e-02 -2.55683396e-02
  3.00998658e-02 -2.66796802e-02  2.05962159e-02  2.02728799e-03
  3.04681324e-02  7.94929582e-02 -3.49058059e-02 -1.43673110e-02
  8.39098502e-02 -2.22093222e-02 -2.84141319e-02 -5.05371597e-02
 -9.50526508e-02  1.50018652e-02 -1.20413561e-01  7.00862390e-02
  7.95479128e-02 -1.60754199e-02 -8.29546349e-02  1.07453996e-02
 -1.31998685e-02  4.98405722e-02 -1.16756009e-02  3.81577406e-03
 -4.01063093e-02 -2.64985180e-02  5.28285629e-02 -2.76906333e-02
 -1.56803989e-02  1.32022420e-02 -6.01121586e-03  3.64220049e-02
  4.44126974e-02  3.30474450e-02  1.04402684e-01  2.90802281e-02
 -6.91505453e-02  6.28350127e-02 -3.75502050e-02  3.18018726e-02
  8.19919448e-02 -4.61391976e-02 -7.23498550e-02  6.20789439e-02
  1.67451307e-02  9.23148718e-02  2.20241704e-02  3.45182442e-02
  7.93364874e-02  2.76752863e-02  1.96606435e-02 -6.40054366e-02
  1.04763206e-02 -3.85657027e-02  4.93364938e-03  3.01214424e-02
 -6.51283245e-02 -5.06454783e-02  2.27713248e-02  3.54854981e-02
 -1.32121045e-02  1.29783869e-02 -4.63403096e-02 -2.23246549e-02
  1.61837738e-02  4.48497034e-03  6.54686105e-03  7.97994290e-02
 -8.00415237e-02 -8.67855738e-03 -8.94984682e-02  2.24199888e-02
 -1.29492506e-01  9.07933267e-03  3.54505149e-02 -2.04106143e-02
 -6.03769812e-02  8.52421720e-03  4.36183320e-03  3.40797253e-02
  1.87101835e-02  5.48154722e-03 -3.74521532e-02  6.44403559e-02
  4.76346250e-02  7.11992493e-03  1.99756712e-03  5.42997455e-03
 -8.10902526e-03  2.67229108e-02 -1.53623266e-02  2.96322217e-02
 -7.74531486e-02  1.63581218e-02 -6.89536846e-02 -9.77490879e-02
 -2.20741673e-02 -1.84895147e-02 -3.66214577e-02 -3.93334159e-02
  4.22107115e-02 -2.68079523e-02  5.74562868e-02  8.84240186e-03
 -2.82610005e-02 -3.78817624e-02 -1.81783065e-02 -5.80047427e-03
 -3.38721996e-02 -6.20815283e-02  1.43085505e-02  1.48249418e-02
  1.31318410e-02 -4.25356523e-02 -2.98797963e-02  5.78868363e-02
  1.28485112e-02  3.87977677e-02  8.02505439e-02  2.29924218e-02
  1.83892290e-02  5.17074384e-03  2.43025762e-02  9.70176736e-03
 -3.21528597e-02 -3.58663034e-02 -3.88119418e-02  9.39060435e-03
 -1.84824632e-02 -2.75755993e-02  8.64609368e-02  4.69533324e-02
 -3.08326190e-03  6.94050672e-03 -7.03605282e-02  1.06709964e-02
 -5.39360021e-02  9.71483045e-02 -1.42769147e-02 -4.71480951e-02
 -5.63282072e-03  2.87572382e-02  2.44597858e-02  5.17242146e-02
  9.56609534e-02 -4.31925803e-02 -3.85411509e-02  8.99428487e-02
 -1.46079175e-02  4.01069239e-02  2.79239136e-02  8.65239846e-03
 -5.48993630e-02  8.32972429e-02 -2.24279488e-02  3.90783091e-02
  8.82846579e-03 -2.41104975e-02 -9.81765971e-03 -5.94313547e-03
  3.35440981e-02  1.59204198e-02  8.26918509e-02 -9.34168822e-03
 -1.42830390e-02 -1.10161088e-02  2.79895981e-03 -4.92105848e-03
  2.99027600e-02  2.08028418e-02  5.93908721e-03 -2.82624181e-03
 -5.13651861e-02 -1.27073809e-01  8.62546387e-02 -1.60032045e-02
 -4.14737767e-02  3.79339545e-02  2.99709567e-03 -4.61295589e-02
 -1.11460714e-02  5.74855908e-02 -3.83718758e-02  2.75657688e-02
  1.45276306e-03 -5.34638254e-02  8.66506386e-02 -5.49105979e-02
  4.83095211e-02  1.03658688e-01  6.55442550e-03  2.45759971e-03
 -4.45870541e-03 -7.00295459e-02  4.26329549e-02 -9.64491489e-02
  2.54835429e-03 -1.74409003e-02 -8.86630276e-03  3.52232572e-03
  1.85086784e-02  1.17483956e-02 -1.08913934e-01 -1.28827787e-02
 -1.27671707e-02 -2.50136102e-02 -9.08565294e-03  2.64717682e-02
 -2.29267249e-02 -3.04753609e-03 -1.14535873e-02 -5.38712797e-02
 -9.98626225e-04  1.55173982e-02 -8.88840429e-03 -1.78391762e-02
 -8.53859053e-03 -3.78808957e-03  1.18875369e-02 -5.55592008e-02
  1.47758868e-02  1.99843943e-02  2.62603690e-02  6.75290741e-02
  2.73193145e-02 -3.25427806e-02  1.57525817e-02  6.64531374e-02
  3.04758528e-02  2.75707698e-02 -6.52963230e-02 -1.95649641e-02
 -3.99829952e-02  6.50750157e-02  1.18892437e-02 -5.56385219e-02
 -4.32896462e-03 -2.23787181e-02 -2.32473941e-02 -1.75593532e-02
  1.32771496e-02 -3.16484186e-05  1.94021252e-02 -3.02826350e-02
 -7.93148882e-02 -2.55975032e-02 -2.54115078e-02 -4.22559120e-02
  7.77338198e-03  4.84276932e-02  1.68295476e-02  2.79072123e-02
 -9.24972781e-02 -7.81204409e-02  2.89393913e-02  4.77667224e-02]"
