Method,Variable,Feature,Broad,Optimal lambda,Total Score,Score lambda 1,Score lambda 2,Score lambda 3,Score lambda 4,Score lambda 5,Score lambda 6,Score lambda 7,Score lambda 8,Score lambda 9,Score lambda 10,Score lambda 11,Score lambda 12,Score lambda 13,Score lambda 14,Score lambda 15,Score lambda 16,Score lambda 17,Score lambda 18,Score lambda 19,Score lambda 20,Score lambda 21,Score lambda 22,Score lambda 23,Score lambda 24,Score lambda 25,Final Score
InterfaceGAN_LR_0.1_18_color_True,color,FIREBIRD TAIL LIGHTS,True,21.0,0.909,0.837,0.84,0.841,0.869,0.871,0.883,0.901,0.899,0.906,0.895,0.9,0.91,0.915,0.918,0.927,,,,,,,,,,,0.927
InterfaceGAN_LR_0.1_18_color_True,color,CHAI TEA,False,25.0,0.078,0.0,0.02,0.04,0.08,0.06,0.06,0.08,0.1,0.1,0.04,0.08,0.06,0.06,0.1,0.1,0.06,0.04,0.06,0.08,0.12,0.1,0.12,0.12,0.14,0.12,0.14
InterfaceGAN_LR_0.1_18_color_True,color,CHAI TEA,True,25.0,0.914,0.859,0.868,0.872,0.873,0.873,0.881,0.886,0.909,0.911,0.919,0.921,0.929,0.93,0.933,0.932,,,,,,,,,,,0.933
InterfaceGAN_LR_0.1_18_color_True,color,VENOM WYRM,False,25.0,0.076,0.04,0.06,0.06,0.04,0.06,0.06,0.06,0.06,0.1,0.08,0.08,0.06,0.08,0.08,0.06,0.08,0.08,0.08,0.08,0.06,0.12,0.1,0.08,0.12,0.12,0.12
InterfaceGAN_LR_0.1_18_color_True,color,VENOM WYRM,True,25.0,0.796,0.806,0.809,0.809,0.804,0.807,0.802,0.801,0.799,0.804,0.801,0.791,0.791,0.792,0.794,0.787,,,,,,,,,,,0.809
InterfaceGAN_LR_0.1_18_color_True,color,SUPERIOR BRONZE,False,25.0,0.093,0.12,0.14,0.12,0.12,0.12,0.12,0.14,0.12,0.12,0.1,0.1,0.08,0.08,0.08,0.1,0.06,0.08,0.08,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.14
InterfaceGAN_LR_0.1_18_color_True,color,SUPERIOR BRONZE,True,25.0,0.889,0.878,0.878,0.881,0.881,0.881,0.887,0.888,0.887,0.888,0.888,0.888,0.888,0.888,0.89,0.891,,,,,,,,,,,0.891
InterfaceGAN_LR_0.1_18_color_True,color,ALPHA BLUE,False,24.0,0.126,0.04,0.04,0.04,0.08,0.1,0.1,0.1,0.12,0.12,0.14,0.12,0.1,0.14,0.16,0.14,0.12,0.14,0.12,0.18,0.2,0.22,0.18,0.16,0.14,0.16,0.22
InterfaceGAN_LR_0.1_18_color_True,color,ALPHA BLUE,True,24.0,0.741,0.597,0.614,0.613,0.622,0.63,0.642,0.647,0.674,0.702,0.705,0.731,0.748,0.752,0.758,0.786,,,,,,,,,,,0.786
InterfaceGAN_LR_0.1_18_color_True,color,FALU RED,False,14.0,0.417,0.04,0.06,0.08,0.1,0.1,0.12,0.14,0.18,0.26,0.28,0.32,0.36,0.38,0.52,0.52,0.54,0.56,0.58,0.62,0.66,0.74,0.78,0.82,0.82,0.84,0.52
InterfaceGAN_LR_0.1_18_color_True,color,FALU RED,True,14.0,0.918,0.818,0.825,0.835,0.855,0.88,0.889,0.894,0.9,0.909,0.908,0.915,0.925,0.926,0.937,0.936,,,,,,,,,,,0.937
InterfaceGAN_LR_0.1_18_color_True,color,CRUSADE KING,False,25.0,0.065,0.04,0.06,0.08,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.0,0.08,0.1,0.08,0.1,0.14,0.18,0.16,0.18
InterfaceGAN_LR_0.1_18_color_True,color,CRUSADE KING,True,25.0,0.898,0.865,0.867,0.875,0.877,0.877,0.878,0.877,0.877,0.876,0.876,0.883,0.885,0.886,0.894,0.909,,,,,,,,,,,0.909
InterfaceGAN_LR_0.1_18_color_True,color,AWARD BLUE,False,22.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.12,0.12,0.12,0.12,0.14,0.12
InterfaceGAN_LR_0.1_18_color_True,color,AWARD BLUE,True,22.0,0.632,0.578,0.582,0.586,0.6,0.601,0.601,0.606,0.609,0.616,0.617,0.617,0.619,0.623,0.624,0.636,,,,,,,,,,,0.636
InterfaceGAN_LR_0.1_18_color_True,color,PITMASTON PEAR YELLOW,False,25.0,0.081,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.04,0.04,0.04,0.04,0.1,0.12,0.14,0.16,0.2,0.18,0.18,0.18,0.16,0.16,0.2,0.2
InterfaceGAN_LR_0.1_18_color_True,color,PITMASTON PEAR YELLOW,True,25.0,0.886,0.85,0.86,0.856,0.863,0.865,0.865,0.866,0.875,0.875,0.882,0.884,0.891,0.879,0.88,0.888,,,,,,,,,,,0.891
InterfaceGAN_LR_1_18_color_True,color,SEED PEARL,False,25.0,0.118,0.06,0.06,0.02,0.06,0.1,0.12,0.14,0.12,0.12,0.06,0.08,0.12,0.12,0.12,0.12,0.12,0.08,0.1,0.14,0.18,0.18,0.18,0.18,0.18,0.18,0.18
InterfaceGAN_LR_1_18_color_True,color,SEED PEARL,True,25.0,0.871,0.875,0.885,0.868,0.866,0.87,0.871,0.868,0.862,0.862,0.854,0.867,0.861,0.86,0.862,0.864,,,,,,,,,,,0.885
InterfaceGAN_LR_1_18_color_True,color,FUJI SNOW,False,25.0,0.313,0.18,0.18,0.2,0.18,0.26,0.28,0.26,0.24,0.3,0.28,0.32,0.28,0.32,0.28,0.28,0.28,0.32,0.34,0.36,0.44,0.4,0.4,0.5,0.48,0.46,0.5
InterfaceGAN_LR_1_18_color_True,color,FUJI SNOW,True,25.0,0.855,0.865,0.858,0.855,0.841,0.842,0.843,0.84,0.847,0.846,0.845,0.849,0.85,0.847,0.844,0.845,,,,,,,,,,,0.865
InterfaceGAN_LR_1_18_color_True,color,ORANGE ESSENTIAL,False,25.0,0.12,0.14,0.14,0.14,0.14,0.12,0.1,0.08,0.08,0.08,0.08,0.08,0.04,0.04,0.06,0.08,0.12,0.1,0.12,0.12,0.14,0.14,0.18,0.22,0.22,0.24,0.24
InterfaceGAN_LR_1_18_color_True,color,ORANGE ESSENTIAL,True,25.0,0.81,0.854,0.855,0.853,0.843,0.833,0.823,0.805,0.805,0.798,0.798,0.792,0.786,0.784,0.786,0.795,,,,,,,,,,,0.855
InterfaceGAN_LR_1_18_color_True,color,RIVIERA BEACH,False,25.0,0.083,0.06,0.06,0.06,0.04,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.12,0.14,0.1,0.12,0.14,0.16,0.16,0.16
InterfaceGAN_LR_1_18_color_True,color,RIVIERA BEACH,True,25.0,0.886,0.878,0.878,0.878,0.876,0.877,0.88,0.888,0.889,0.892,0.886,0.887,0.888,0.887,0.888,0.887,,,,,,,,,,,0.892
InterfaceGAN_LR_1_18_color_True,color,NECRON COMPOUND,False,25.0,0.098,0.02,0.04,0.04,0.06,0.04,0.06,0.08,0.1,0.1,0.1,0.08,0.08,0.1,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.14,0.12,0.14,0.12,0.14,0.14
InterfaceGAN_LR_1_18_color_True,color,NECRON COMPOUND,True,25.0,0.719,0.616,0.623,0.626,0.65,0.661,0.672,0.681,0.688,0.694,0.704,0.705,0.704,0.719,0.734,0.753,,,,,,,,,,,0.753
InterfaceGAN_LR_1_18_color_True,color,WOODEN CABIN,False,25.0,0.115,0.06,0.08,0.08,0.08,0.08,0.1,0.08,0.1,0.12,0.1,0.12,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.14,0.16,0.16,0.16,0.16
InterfaceGAN_LR_1_18_color_True,color,WOODEN CABIN,True,25.0,0.913,0.874,0.882,0.881,0.882,0.883,0.885,0.886,0.887,0.896,0.91,0.911,0.928,0.928,0.927,0.931,,,,,,,,,,,0.931
InterfaceGAN_LR_1_18_color_True,color,AMERICAN ROAST,False,25.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.06,0.1,0.1,0.1,0.16,0.18,0.16,0.18,0.16,0.16,0.12,0.12,0.12,0.14,0.18,0.18
InterfaceGAN_LR_1_18_color_True,color,AMERICAN ROAST,True,25.0,0.895,0.847,0.851,0.852,0.854,0.858,0.872,0.873,0.883,0.884,0.906,0.908,0.91,0.909,0.909,0.914,,,,,,,,,,,0.914
InterfaceGAN_LR_1_18_color_True,color,ANTIQUITY,False,25.0,0.062,0.04,0.02,0.02,0.02,0.04,0.06,0.04,0.04,0.04,0.06,0.08,0.08,0.1,0.1,0.12,0.1,0.08,0.06,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.12
InterfaceGAN_LR_1_18_color_True,color,ANTIQUITY,True,25.0,0.897,0.88,0.882,0.883,0.889,0.889,0.888,0.888,0.888,0.89,0.89,0.89,0.891,0.896,0.895,0.896,,,,,,,,,,,0.896
InterfaceGAN_LR_1_18_color_True,color,NEPAL,False,25.0,0.303,0.14,0.1,0.14,0.2,0.2,0.2,0.2,0.2,0.22,0.26,0.32,0.28,0.3,0.32,0.36,0.36,0.42,0.42,0.42,0.42,0.42,0.4,0.4,0.46,0.42,0.46
InterfaceGAN_LR_1_18_color_True,color,NEPAL,True,25.0,0.734,0.611,0.609,0.634,0.657,0.658,0.676,0.677,0.685,0.686,0.702,0.722,0.732,0.733,0.75,0.764,,,,,,,,,,,0.764
InterfaceGAN_LR_1_18_color_True,color,FIREBIRD TAIL LIGHTS,False,22.0,0.231,0.08,0.08,0.06,0.06,0.04,0.08,0.08,0.12,0.12,0.16,0.26,0.26,0.22,0.28,0.28,0.3,0.32,0.4,0.4,0.38,0.4,0.38,0.34,0.34,0.34,0.4
InterfaceGAN_LR_1_18_color_True,color,FIREBIRD TAIL LIGHTS,True,22.0,0.91,0.837,0.84,0.843,0.869,0.87,0.883,0.9,0.905,0.9,0.905,0.912,0.916,0.914,0.919,0.927,,,,,,,,,,,0.927
InterfaceGAN_LR_1_18_color_True,color,CHAI TEA,False,25.0,0.07,0.0,0.02,0.04,0.06,0.06,0.06,0.06,0.08,0.1,0.06,0.04,0.06,0.08,0.06,0.06,0.1,0.06,0.04,0.06,0.06,0.08,0.08,0.12,0.16,0.14,0.16
InterfaceGAN_LR_1_18_color_True,color,CHAI TEA,True,25.0,0.911,0.859,0.868,0.871,0.872,0.874,0.881,0.884,0.895,0.909,0.91,0.919,0.921,0.921,0.929,0.931,,,,,,,,,,,0.931
